presented_name,Syndrome_Snippet
Acute Hepatitis B V1,acute%20hepatitis%20b%20v1
Acute Rabies V1,acute%20rabies%20v1
Air Quality-related Respiratory Illness V1,air%20quality-related%20respiratory%20illness%20v1
All Animal Bites V1,all%20animal%20bites%20v1
Traffic Related V1,%20traffic%20related%20v1
All Traffic Related V2,all%20traffic%20related%20v2
All-terrain Vehicle (atv) Related (tn Ci) V1,all-terrain%20vehicle%20(atv)%20related%20(tn%20ci)%20v1
All-terrain Vehicle (atv) Related V1,all-terrain%20vehicle%20(atv)%20related%20v1
Anaplasmosis V1,anaplasmosis%20v1
Anthrax V1,anthrax%20v1
Babesiosis V1,babesiosis%20v1
Brucellosis V1,brucellosis%20v1
CDC Acute Flaccid Myelitis Dd V1,cdc%20acute%20flaccid%20myelitis%20dd%20v1
CDC Acute Hepatitis C V1,cdc%20acute%20hepatitis%20c%20v1
CDC Afm Broad V1-limit to Pediatric,cdc%20afm%20broad%20v1-limit%20to%20pediatric
CDC Afm Narrow V1-limit to Pediatric,cdc%20afm%20narrow%20v1-limit%20to%20pediatric
CDC Alcohol V1,cdc%20alcohol%20v1
CDC All Drug Overdose V3 Parsed,cdc%20all%20drug%20overdose%20v3%20parsed
CDC All Drug V1,cdc%20all%20drug%20v1
CDC All Drug V2,cdc%20all%20drug%20v2
CDC Anxiety Disorders (without F419) V1,cdc%20anxiety%20disorders%20(without%20f419)%20v1
CDC Anxiety Disorders V1,cdc%20anxiety%20disorders%20v1
CDC Assault Firearm Injury V1,cdc%20assault%20firearm%20injury%20v1
CDC Asthma CCDD V1,cdc%20asthma%20ccdd%20v1
CDC Attention-deficit Hyperactivity Disorders V1,cdc%20attention-deficit%20hyperactivity%20disorders%20v1
CDC Benzodiazepine Overdose V1,cdc%20benzodiazepine%20overdose%20v1
CDC Benzodiazepine Overdose V2 Parsed,cdc%20benzodiazepine%20overdose%20v2%20parsed
CDC Bipolar Disorders V1,cdc%20bipolar%20disorders%20v1
CDC Broad Acute Respiratory Dd V1,cdc%20broad%20acute%20respiratory%20dd%20v1
CDC Chicken Pox V1,cdc%20chicken%20pox%20v1
CDC Chickenpox V2,cdc%20chickenpox%20v2
CDC Chronic Hepatitis C V1,cdc%20chronic%20hepatitis%20c%20v1
